Question;Question Type;Answer Option 1;Explanation 1;Answer Option 2;Explanation 2;Answer Option 3;Explanation 3;Answer Option 4;Explanation 4;Correct Answers;Overall Explanation;Domain
¿Cuál es el propósito principal de API Gateway en AWS?;multiple-choice;Almacenar archivos en la nube;Ese es el propósito de S3.;Ejecutar funciones Lambda directamente;Aunque puede integrarse con Lambda, API Gateway no ejecuta funciones directamente.;Exponer y administrar APIs a través de endpoints HTTP;Correcto. API Gateway se encarga de gestionar APIs.;Configurar redes privadas en AWS;Eso corresponde más a VPC.;3;API Gateway permite crear, exponer y gestionar APIs HTTP, REST y WebSocket en AWS.;API Gateway
¿Cuál es una diferencia clave entre una API HTTP y una REST en API Gateway?;multiple-choice;La API HTTP permite autenticación mientras que REST no;Ambas pueden tener autenticación.;La API REST soporta recursos y métodos, mientras HTTP es más simple;Correcto. REST ofrece más control y configuración.;Solo la API HTTP puede usar funciones Lambda;Ambas pueden integrarse con Lambda.;API HTTP tiene más costos que la REST;En general, HTTP es más barata y eficiente.;2;Las APIs REST ofrecen recursos y configuraciones avanzadas, mientras que HTTP es más simple y rápida de desplegar.;API Gateway
¿Qué herramienta permite probar una API desde una interfaz gráfica?;multiple-choice;AWS Lambda;Lambda ejecuta funciones, no prueba APIs.;Amazon S3;S3 es almacenamiento.;Postman;Correcto. Postman permite enviar peticiones HTTP a APIs.;AWS CLI;También permite pruebas, pero no desde GUI.;3;Postman es una herramienta ampliamente usada para probar y documentar APIs.;API Gateway
¿Qué describe mejor una arquitectura REST?;multiple-choice;Una arquitectura orientada a archivos;No tiene relación directa.;Un modelo de integración con bases de datos;REST no se limita a bases de datos.;Una arquitectura basada en recursos y métodos HTTP;Correcto. REST se basa en el uso de recursos y verbos HTTP.;Un protocolo propietario de AWS;REST es un estándar abierto.;3;REST utiliza recursos identificables por URLs y operaciones basadas en métodos HTTP como GET, POST, etc.;API Gateway
¿Cuál es el método HTTP adecuado para crear un nuevo recurso en una API REST?;multiple-choice;GET;GET se usa para obtener datos.;DELETE;DELETE elimina recursos.;POST;Correcto. POST se usa para crear recursos.;PUT;PUT reemplaza recursos existentes.;3;POST es el método estándar para enviar datos al servidor y crear nuevos recursos.;API Gateway
¿Qué archivo permite describir una API de forma estandarizada y portable?;multiple-choice;Dockerfile;Se usa para construir contenedores.;Makefile;Automatiza tareas, pero no describe APIs.;OpenAPI (Swagger);Correcto. OpenAPI es un estándar para describir APIs.;.env;Contiene variables de entorno.;3;OpenAPI es un formato estándar usado para definir APIs RESTful, soportado por API Gateway.;API Gateway
¿Qué propiedad en un archivo OpenAPI activa caracterí­sticas especí­ficas de API Gateway?;multiple-choice;x-amazon-api-gateway;Correcto. Permite configuraciones especí­ficas como integración con Lambda.;x-swagger-spec;No es una extensión reconocida.;gateway-config;No existe como propiedad oficial.;aws-settings;No es parte del estándar.;1;x-amazon-api-gateway permite agregar configuraciones especí­ficas como integración, CORS, y validaciones en API Gateway.;API Gateway
¿Qué necesitas para desplegar una API desde un archivo OpenAPI en API Gateway?;multiple-choice;Un archivo de logs;No es íºtil para desplegar.;Un archivo OpenAPI válido y permisos adecuados;Correcto. Necesitas la definición y permisos para desplegar.;Un script en Java;No es obligatorio.;Un bucket de S3 con la función Lambda;Puede ser íºtil, pero no esencial.;2;API Gateway puede importar APIs desde un archivo OpenAPI con las extensiones necesarias, si el usuario tiene permisos adecuados.;API Gateway
¿Qué dirección IP verás en tu backend si una API Gateway píºblica invoca tu Lambda?;multiple-choice;La IP del cliente;No se propaga automáticamente.;La IP de API Gateway;Correcto. Es la IP desde donde se invoca.;La IP de Lambda;Lambda no tiene una IP píºblica fija.;Una IP aleatoria de la región;No aplica.;2;Las llamadas desde API Gateway llevan su IP como origen al invocar otros servicios como Lambda.;API Gateway
¿Qué método de integración permite a Lambda recibir directamente el evento HTTP de API Gateway?;multiple-choice;AWS_PROXY;Correcto. Pasa directamente el request como JSON.;AWS;Necesita mapping templates.;MOCK;No invoca Lambda.;HTTP;Se usa para integrarse con endpoints externos.;1;La integración AWS_PROXY permite que Lambda reciba todo el evento HTTP tal cual lo enví­a API Gateway.;API Gateway
